2024-04-22 15:31:34.924 +02:00 [INF] Test info channel
2024-04-22 15:31:36.555 +02:00 [INF] Request Ip=::1 Url=/ Time=413.853
2024-04-22 15:31:36.851 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=003.329
2024-04-22 15:31:36.851 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=003.240
2024-04-22 15:31:36.851 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=006.659
2024-04-22 15:31:36.851 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.804
2024-04-22 15:31:36.866 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=001.503
2024-04-22 15:31:36.872 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=006.792
2024-04-22 15:31:37.462 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.247
2024-04-22 15:31:37.581 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.739
2024-04-22 15:31:56.791 +02:00 [INF] Test info channel
2024-04-22 15:31:57.475 +02:00 [INF] Request Ip=::1 Url=/ Time=322.551
2024-04-22 15:31:57.541 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.024
2024-04-22 15:31:57.735 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.688
2024-04-22 15:31:57.788 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.932
2024-04-22 15:36:44.420 +02:00 [INF] Test info channel
2024-04-22 15:36:45.564 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=335.723
2024-04-22 15:36:45.718 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=005.720
2024-04-22 15:36:45.749 +02:00 [INF] Request Ip=127.0.0.1 Url=/static/js/readerStorageManagement.js Time=001.947
2024-04-22 15:36:45.985 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=003.787
2024-04-22 15:36:46.046 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=006.202
2024-04-22 15:38:41.392 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=043.442
2024-04-22 15:38:41.424 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=115349.979
2024-04-22 15:38:41.433 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.615
2024-04-22 15:38:41.433 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=001.480
2024-04-22 15:38:41.580 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=001.729
2024-04-22 15:38:41.741 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=001.344
2024-04-22 15:38:41.942 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=194.694
2024-04-22 15:38:47.006 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=013.898
2024-04-22 15:38:47.082 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=001.082
2024-04-22 15:38:47.375 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=000.460
2024-04-22 15:38:47.438 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=000.694
2024-04-22 15:40:28.621 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=025.730
2024-04-22 15:40:28.672 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=101201.859
2024-04-22 15:40:28.692 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.576
2024-04-22 15:40:28.896 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.339
2024-04-22 15:40:29.036 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.331
2024-04-22 15:40:32.563 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=3522.375
2024-04-22 15:40:51.600 +02:00 [INF] Test info channel
2024-04-22 15:40:54.601 +02:00 [INF] Request Ip=::1 Url=/ Time=448.763
2024-04-22 15:40:54.669 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.846
2024-04-22 15:40:54.686 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.871
2024-04-22 15:40:54.861 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.045
2024-04-22 15:40:54.990 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.080
2024-04-22 15:40:58.281 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.796
2024-04-22 15:41:17.317 +02:00 [INF] Test info channel
2024-04-22 15:41:18.033 +02:00 [INF] Request Ip=::1 Url=/ Time=327.559
2024-04-22 15:41:18.075 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.421
2024-04-22 15:41:18.203 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.716
2024-04-22 15:41:18.273 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.220
2024-04-22 15:59:41.578 +02:00 [INF] Test info channel
2024-04-22 15:59:42.266 +02:00 [INF] Request Ip=::1 Url=/ Time=323.756
2024-04-22 15:59:42.309 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.059
2024-04-22 15:59:42.325 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=002.520
2024-04-22 15:59:42.431 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.088
2024-04-22 15:59:42.484 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.173
2024-04-22 16:05:07.851 +02:00 [INF] Test info channel
2024-04-22 16:05:09.137 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=363.258
2024-04-22 16:05:09.206 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=005.455
