2024-01-30 15:45:46.223 +01:00 [INF] Test info channel
2024-01-30 15:45:51.012 +01:00 [INF] Request Ip=::1 Url=/ Time=1018.646
2024-01-30 15:45:51.040 +01:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=011.498
2024-01-30 15:45:51.040 +01:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=011.474
2024-01-30 15:45:51.040 +01:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=015.950
2024-01-30 15:45:51.040 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=011.749
2024-01-30 15:45:51.129 +01:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=001.473
2024-01-30 15:45:51.523 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.548
2024-01-30 15:45:51.572 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.293
2024-01-30 15:46:17.434 +01:00 [INF] Test info channel
2024-01-30 15:46:17.973 +01:00 [INF] Request Ip=::1 Url=/ Time=246.977
2024-01-30 15:46:17.993 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=012.681
2024-01-30 15:46:17.997 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.469
2024-01-30 15:46:18.105 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.274
2024-01-30 15:46:18.136 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.365
2024-01-30 15:46:18.159 +01:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=000.853
2024-01-30 15:46:54.795 +01:00 [INF] Test info channel
2024-01-30 15:46:55.138 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=027.139
2024-01-30 15:46:55.402 +01:00 [INF] Request Ip=::1 Url=/ Time=292.932
2024-01-30 15:46:55.417 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=272.414
2024-01-30 15:46:55.420 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=009.024
2024-01-30 15:46:55.426 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.994
2024-01-30 15:46:55.616 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.392
2024-01-30 15:46:55.654 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.761
2024-01-30 15:47:15.867 +01:00 [INF] Test info channel
2024-01-30 15:47:16.223 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=025.621
2024-01-30 15:47:21.088 +01:00 [INF] Test info channel
2024-01-30 15:47:21.922 +01:00 [INF] Request Ip=::1 Url=/favicon.ico Time=001.652
2024-01-30 15:47:38.008 +01:00 [INF] Request Ip=::1 Url=/ Time=174.649
2024-01-30 15:47:38.045 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.358
2024-01-30 15:47:38.268 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.907
2024-01-30 15:47:38.322 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=005.384
2024-01-30 15:48:11.456 +01:00 [INF] Test info channel
