2024-04-24 19:04:57.973 +02:00 [INF] Test info channel
2024-04-24 19:05:00.916 +02:00 [INF] Request Ip=::1 Url=/ Time=504.822
2024-04-24 19:05:01.000 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=002.412
2024-04-24 19:05:01.000 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=002.559
2024-04-24 19:05:01.000 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=002.567
2024-04-24 19:05:01.000 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=004.785
2024-04-24 19:05:01.057 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=002.052
2024-04-24 19:05:01.092 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.343
2024-04-24 19:05:01.092 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.388
2024-04-24 19:05:01.094 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.363
2024-04-24 19:05:01.424 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.392
2024-04-24 19:05:01.461 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=036.947
2024-04-24 19:05:01.539 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.594
2024-04-24 19:05:01.619 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.673
2024-04-24 19:05:30.912 +02:00 [INF] ReaderView: ToggleConfigOpen
2024-04-24 19:05:31.566 +02:00 [INF] ReaderView: ToggleConfigOpen
2024-04-24 19:05:39.660 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=38034.032
2024-04-24 19:06:17.501 +02:00 [INF] Test info channel
2024-04-24 19:06:18.181 +02:00 [INF] Request Ip=::1 Url=/ Time=297.043
2024-04-24 19:06:18.227 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.919
2024-04-24 19:06:18.274 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.641
2024-04-24 19:06:18.385 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.219
2024-04-24 19:06:18.453 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.313
2024-04-24 19:08:51.947 +02:00 [INF] ReaderView: ToggleNewTextPanelOpen
2024-04-24 19:09:15.354 +02:00 [INF] Request Ip=::1 Url=/ Time=036.014
2024-04-24 19:09:15.401 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=176887.764
2024-04-24 19:09:15.437 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.634
2024-04-24 19:09:15.453 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.478
2024-04-24 19:09:16.078 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.353
2024-04-24 19:09:16.204 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.518
2024-04-24 19:09:58.104 +02:00 [INF] Request Ip=::1 Url=/ Time=021.872
2024-04-24 19:09:58.120 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=41906.531
2024-04-24 19:09:58.164 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.185
2024-04-24 19:09:58.191 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.583
2024-04-24 19:09:58.345 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.224
2024-04-24 19:09:58.514 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.400
2024-04-24 19:11:10.101 +02:00 [INF] Request Ip=::1 Url=/ Time=028.453
2024-04-24 19:11:10.121 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=71459.829
2024-04-24 19:11:10.182 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.600
2024-04-24 19:11:10.876 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.526
2024-04-24 19:11:10.945 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.480
2024-04-24 19:11:14.668 +02:00 [INF] Request Ip=::1 Url=/ Time=011.072
2024-04-24 19:11:14.679 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=3726.344
2024-04-24 19:11:14.733 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=020.172
2024-04-24 19:11:14.736 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=020.242
2024-04-24 19:11:14.736 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=018.953
2024-04-24 19:11:14.746 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=030.177
2024-04-24 19:11:14.766 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=050.065
2024-04-24 19:11:14.782 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=030.266
2024-04-24 19:11:14.790 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.007
2024-04-24 19:11:14.806 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=054.467
2024-04-24 19:11:15.098 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.943
2024-04-24 19:11:15.152 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.661
2024-04-24 19:11:15.527 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=001.732
2024-04-24 19:11:50.048 +02:00 [INF] Request Ip=::1 Url=/ Time=004.172
2024-04-24 19:11:50.081 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=34881.995
2024-04-24 19:11:50.109 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.366
2024-04-24 19:11:50.248 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.172
2024-04-24 19:11:50.556 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.302
2024-04-24 19:11:50.662 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=101.159
2024-04-24 19:11:53.831 +02:00 [INF] Request Ip=::1 Url=/ Time=015.298
2024-04-24 19:11:53.871 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.303
2024-04-24 19:11:54.042 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.752
2024-04-24 19:11:54.083 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.260
2024-04-24 19:12:12.800 +02:00 [INF] Request Ip=::1 Url=/ Time=004.271
2024-04-24 19:12:12.811 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=18674.433
2024-04-24 19:12:12.883 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.201
2024-04-24 19:12:13.004 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.243
2024-04-24 19:12:13.045 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.270
2024-04-24 19:12:23.197 +02:00 [INF] Request Ip=::1 Url=/ Time=012.695
2024-04-24 19:12:23.207 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=10141.715
2024-04-24 19:12:23.252 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.219
2024-04-24 19:12:23.389 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.337
2024-04-24 19:12:23.470 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=002.001
2024-04-24 19:12:27.179 +02:00 [INF] Request Ip=::1 Url=/ Time=014.252
