2024-03-24 20:04:38.327 +00:00 [INF] Test info channel
2024-03-24 20:04:42.206 +00:00 [INF] Request Ip=127.0.0.1 Url=/ Time=1109.797
2024-03-24 20:04:42.332 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/css/site.css Time=039.345
2024-03-24 20:04:42.396 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/assets/logo.png Time=001.652
2024-03-24 20:04:42.399 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/twConfig.js Time=001.898
2024-03-24 20:04:42.410 +00:00 [INF] Request Ip=127.0.0.1 Url=/_content/MudBlazor/MudBlazor.min.css Time=016.311
2024-03-24 20:04:42.415 +00:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=021.803
2024-03-24 20:04:42.439 +00:00 [INF] Request Ip=127.0.0.1 Url=/_content/MudBlazor/MudBlazor.min.js Time=000.791
2024-03-24 20:04:42.491 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/baseDomManagement.js Time=000.715
2024-03-24 20:04:42.492 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/readerStorageManagement.js Time=001.081
2024-03-24 20:04:42.593 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=002.507
2024-03-24 20:04:42.649 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=006.084
2024-03-24 20:04:42.656 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/assets/favicon.png Time=000.606
2024-03-24 20:04:42.800 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=041.143
2024-03-24 20:04:42.852 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=000.569
2024-03-24 20:04:42.891 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/baseDomManagement.js Time=000.349
2024-03-24 20:04:42.892 +00:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=000.487
2024-03-24 20:04:42.892 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/readerStorageManagement.js Time=000.147
2024-03-24 20:04:42.894 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=001.496
2024-03-24 20:04:42.902 +00:00 [INF] Request Ip=127.0.0.1 Url=/static/js/twConfig.js Time=000.234
2024-03-24 20:04:42.903 +00:00 [INF] Request Ip=127.0.0.1 Url=/_content/MudBlazor/MudBlazor.min.js Time=000.200
2024-03-24 20:04:42.934 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=002.766
2024-03-24 20:04:42.938 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=009.657
2024-03-24 20:04:42.987 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.365
2024-03-24 20:04:43.042 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=048.459
2024-03-24 20:04:43.091 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.210
2024-03-24 20:04:43.096 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=005.020
2024-03-24 20:04:43.127 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.746
2024-03-24 20:04:43.191 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.104
2024-03-24 20:04:43.198 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=007.393
2024-03-24 20:04:43.238 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.206
2024-03-24 20:04:43.251 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.210
2024-03-24 20:04:43.268 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.141
2024-03-24 20:04:43.290 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.216
2024-03-24 20:04:43.311 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.127
2024-03-24 20:04:43.325 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.183
2024-03-24 20:04:43.390 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.184
2024-03-24 20:04:43.401 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=010.267
2024-03-24 20:04:43.425 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.143
2024-03-24 20:04:43.438 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.197
2024-03-24 20:04:43.469 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.231
2024-03-24 20:04:43.499 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=000.112
2024-03-24 20:04:49.293 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/disconnect Time=011.385
2024-03-24 20:06:13.491 +00:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=90000.513
