2024-02-05 00:23:20.204 +01:00 [INF] Test info channel
2024-02-05 00:23:21.175 +01:00 [INF] Request Ip=::1 Url=/ Time=465.404
2024-02-05 00:23:21.200 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.073
2024-02-05 00:23:21.200 +01:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=002.379
2024-02-05 00:23:21.242 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.716
2024-02-05 00:23:21.523 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.657
2024-02-05 00:23:21.589 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=007.302
2024-02-05 00:30:19.574 +01:00 [INF] Request Ip=::1 Url=/ Time=022.801
2024-02-05 00:30:19.591 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=007.967
2024-02-05 00:30:19.593 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=417931.577
2024-02-05 00:30:19.596 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.377
2024-02-05 00:30:19.823 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.297
2024-02-05 00:30:19.895 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.359
2024-02-05 00:30:42.985 +01:00 [INF] Request Ip=::1 Url=/ Time=006.303
2024-02-05 00:30:42.992 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=23024.977
2024-02-05 00:30:42.993 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=001.098
2024-02-05 00:30:43.004 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.190
2024-02-05 00:30:43.123 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.119
2024-02-05 00:30:43.171 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.241
2024-02-05 00:30:56.673 +01:00 [INF] Request Ip=::1 Url=/ Time=003.572
2024-02-05 00:30:56.678 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=13489.335
2024-02-05 00:30:56.679 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.811
2024-02-05 00:30:56.693 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.140
2024-02-05 00:30:56.803 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.103
2024-02-05 00:30:56.836 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.199
2024-02-05 00:31:15.678 +01:00 [INF] Request Ip=::1 Url=/ Time=004.430
2024-02-05 00:31:15.683 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=18828.327
2024-02-05 00:31:15.684 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.695
2024-02-05 00:31:15.694 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.194
2024-02-05 00:31:15.800 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.112
2024-02-05 00:31:15.825 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.237
2024-02-05 00:32:45.331 +01:00 [INF] Request Ip=::1 Url=/ Time=012.565
2024-02-05 00:32:45.341 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=89497.779
2024-02-05 00:32:45.342 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.963
