2024-04-17 23:32:32.981 +02:00 [INF] Request Ip=::1 Url=/ Time=435.269
2024-04-17 23:32:33.188 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.004
2024-04-17 23:32:33.469 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.448
2024-04-17 23:32:33.570 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=009.574
2024-04-17 23:32:34.822 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=1180.030
2024-04-17 23:32:37.419 +02:00 [INF] Request Ip=::1 Url=/ Time=028.482
2024-04-17 23:32:37.453 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=019.662
2024-04-17 23:32:37.460 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.383
2024-04-17 23:32:37.804 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.444
2024-04-17 23:32:38.095 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.501
2024-04-17 23:33:45.779 +02:00 [INF] Request Ip=::1 Url=/read Time=015.433
2024-04-17 23:33:45.786 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=67616.454
2024-04-17 23:33:45.793 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=004.185
2024-04-17 23:33:45.805 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.276
2024-04-17 23:33:46.141 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.457
2024-04-17 23:33:46.277 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.526
2024-04-17 23:34:00.724 +02:00 [INF] Request Ip=::1 Url=/read Time=017.797
2024-04-17 23:34:00.735 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=14445.864
2024-04-17 23:34:00.739 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=004.051
2024-04-17 23:34:00.760 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.520
2024-04-17 23:34:01.083 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.070
2024-04-17 23:34:01.136 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.292
