2024-04-20 17:46:09.520 +02:00 [INF] Test info channel
2024-04-20 17:46:11.172 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=426.264
2024-04-20 17:46:11.246 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=013.980
2024-04-20 17:46:11.430 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=002.769
2024-04-20 17:46:11.468 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=004.905
2024-04-20 17:46:23.666 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=12182.894
2024-04-20 17:47:04.209 +02:00 [INF] Test info channel
2024-04-20 17:47:05.829 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=430.582
2024-04-20 17:47:05.946 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=013.116
2024-04-20 17:47:06.121 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=002.239
2024-04-20 17:47:06.216 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=005.995
2024-04-20 17:47:33.248 +02:00 [INF] Test info channel
2024-04-20 17:47:34.862 +02:00 [INF] Request Ip=127.0.0.1 Url=/ Time=422.457
2024-04-20 17:47:35.008 +02:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=012.237
2024-04-20 17:47:35.233 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=002.329
2024-04-20 17:47:35.372 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=005.326
2024-04-20 17:48:06.550 +02:00 [INF] Request Ip=127.0.0.1 Url=/_blazor Time=31106.715
2024-04-20 20:02:02.908 +02:00 [INF] Test info channel
2024-04-20 20:02:09.902 +02:00 [INF] Request Ip=::1 Url=/ Time=697.420
2024-04-20 20:02:10.187 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=002.660
2024-04-20 20:02:10.187 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=003.690
2024-04-20 20:02:10.208 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=001.056
2024-04-20 20:02:10.209 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=002.464
