2024-04-25 15:57:30.610 +02:00 [INF] Test info channel
2024-04-25 15:57:34.793 +02:00 [INF] Request Ip=::1 Url=/ Time=388.012
2024-04-25 15:57:34.878 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.203
2024-04-25 15:57:34.878 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=004.686
2024-04-25 15:57:34.878 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=004.693
2024-04-25 15:57:36.966 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=002.288
2024-04-25 15:57:36.977 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=013.381
2024-04-25 15:57:37.010 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.595
2024-04-25 15:57:37.058 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.345
2024-04-25 15:57:37.174 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.539
2024-04-25 15:57:39.025 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.309
2024-04-25 15:57:39.230 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=008.064
2024-04-25 16:04:23.758 +02:00 [INF] Request Ip=::1 Url=/ Time=021.335
2024-04-25 16:04:23.785 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=404548.404
2024-04-25 16:04:23.805 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.270
2024-04-25 16:04:25.855 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.520
2024-04-25 16:04:27.910 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.837
2024-04-25 16:05:45.325 +02:00 [INF] Request Ip=::1 Url=/ Time=017.855
2024-04-25 16:05:45.338 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=77424.388
2024-04-25 16:05:45.367 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.415
2024-04-25 16:05:47.408 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.765
2024-04-25 16:05:49.446 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.794
2024-04-25 16:06:26.328 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=36877.087
2024-04-25 16:06:26.317 +02:00 [INF] Request Ip=::1 Url=/ Time=009.638
2024-04-25 16:06:26.353 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.365
2024-04-25 16:06:28.397 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=006.044
2024-04-25 16:06:30.434 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.321
2024-04-25 16:08:27.809 +02:00 [INF] Request Ip=::1 Url=/ Time=010.265
2024-04-25 16:08:27.826 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=117388.081
2024-04-25 16:08:27.857 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.295
2024-04-25 16:08:29.896 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.314
2024-04-25 16:08:31.925 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=001.357
2024-04-25 16:09:04.769 +02:00 [INF] Request Ip=::1 Url=/ Time=007.964
2024-04-25 16:09:04.783 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=32855.558
2024-04-25 16:09:04.807 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.820
2024-04-25 16:09:06.855 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.369
2024-04-25 16:09:08.907 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=002.133
2024-04-25 16:10:30.292 +02:00 [INF] Request Ip=::1 Url=/ Time=012.920
2024-04-25 16:10:30.308 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=81396.843
2024-04-25 16:10:30.334 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.299
2024-04-25 16:10:32.379 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.261
2024-04-25 16:10:34.429 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.853
2024-04-25 16:11:40.980 +02:00 [INF] Request Ip=::1 Url=/ Time=005.303
2024-04-25 16:11:41.006 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=66572.479
2024-04-25 16:11:41.033 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.271
2024-04-25 16:11:43.058 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.523
2024-04-25 16:11:45.086 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=002.378
